lambda,N,p_max,mean_error_50,mean_error_100,mean_error_150,sliwinski_bound,dissonance_delta
20.0,500,61,0.2349247516080833,0.19954128287961276,0.19354611658544243,0.08345205017383352,0.1514727014342498
20.0,500,101,0.2527931278106475,0.21562098552447773,0.19926740348264602,0.08345205017383352,0.169341077636814
20.0,500,151,0.2270504209186911,0.20103543897640822,0.18983351650966723,0.08345205017383352,0.1435983707448576
21.0,500,61,0.19205399660496458,0.18331439426244245,0.18687358688405056,0.08211468468826277,0.10993931191670181
21.0,500,101,0.20574891339716,0.18057071742170663,0.18122686704309623,0.08211468468826277,0.12363422870889723
21.0,500,151,0.2242036063819758,0.19007794188213956,0.18633309710999227,0.08211468468826277,0.14208892169371304
22.0,500,61,0.2343655019162198,0.18668088070740999,0.18734874864700984,0.08087886328716812,0.15348663862905168
22.0,500,101,0.26140482981090274,0.196431938596588,0.18098512973684824,0.08087886328716812,0.18052596652373462
22.0,500,151,0.22187712010309835,0.18627853058700453,0.17144308415046566,0.08087886328716812,0.14099825681593023
23.0,500,61,0.24044690251153011,0.19885811223662317,0.1879980261505624,0.07973224722595025,0.16071465528557988
23.0,500,101,0.22737335809848377,0.20177382557864768,0.18285128018876412,0.07973224722595025,0.1476411108725335
23.0,500,151,0.22850604516266657,0.20068364050229248,0.18071961294931735,0.07973224722595025,0.1487737979367163
24.0,500,61,0.2011061225145854,0.18723276654121673,0.1813520085351908,0.07866449511103121,0.12244162740355419
24.0,500,101,0.21490133565685454,0.19921939727586577,0.1813048774313208,0.07866449511103121,0.13623684054582333
24.0,500,151,0.20452966169763692,0.19434107334360856,0.1791091149241266,0.07866449511103121,0.1258651665866057
25.0,500,61,0.1769410585925081,0.1685565189460904,0.1705841768841097,0.07766686681995148,0.09927419177255663
25.0,500,101,0.20976898017776016,0.18983466217319825,0.17263846029125052,0.07766686681995148,0.1321021133578087
25.0,500,151,0.2036537906535048,0.1892345965924774,0.17312383145060276,0.07766686681995148,0.1259869238335533
26.0,500,61,0.1935725079392513,0.1668163541763324,0.17296774318487948,0.07673191910753371,0.11684058883171758
26.0,500,101,0.20820839094188856,0.1765881445782626,0.16770487187558694,0.07673191910753371,0.13147647183435485
26.0,500,151,0.20398790088126714,0.1754785293553275,0.16390590276658357,0.07673191910753371,0.12725598177373343
27.0,500,61,0.20564561392577502,0.17032119951276628,0.17447556545321183,0.07585326888556979,0.12979234504020523
27.0,500,101,0.20294832665875767,0.1793182670911448,0.17254343585031537,0.07585326888556979,0.12709505777318789
27.0,500,151,0.1945529219188912,0.17554534052298135,0.16817726696957064,0.07585326888556979,0.11869965303332142
28.0,500,61,0.21898492880885062,0.1856700951808117,0.17883934314416047,0.07502540712510328,0.14395952168374734
28.0,500,101,0.22955140041512287,0.19314427466756523,0.17635532465771336,0.07502540712510328,0.1545259932900196
28.0,500,151,0.22160018311114926,0.1903341911818083,0.17498169588542717,0.07502540712510328,0.14657477598604599
29.0,500,61,0.19933710815716188,0.1719546904405151,0.17431390220823811,0.07424355109334252,0.12509355706381936
29.0,500,101,0.1997394080030858,0.17683212108681715,0.17437794813800336,0.07424355109334252,0.12549585690974327
29.0,500,151,0.16554775832646929,0.15436932375348975,0.15845187867652033,0.07424355109334252,0.09130420723312677
