lambda,N,p_max,mean_error_50,mean_error_100,sliwinski_bound,dissonance_delta
5.0,200,13,0.3575414840027394,0.3447634002399332,0.15533373363990297,0.20220775036283642
5.0,200,31,0.41415919900267056,0.39093755575774625,0.15533373363990297,0.2588254653627676
5.0,200,61,0.5273226941304084,0.4727943916793756,0.15533373363990297,0.37198896049050545
5.0,200,101,0.5714746775701853,0.5150521194578822,0.15533373363990297,0.41614094393028234
7.5,200,13,0.34196667343873427,0.3650225241267385,0.124075450506158,0.2178912229325763
7.5,200,31,0.306905917489983,0.30425790903654865,0.124075450506158,0.18283046698382505
7.5,200,61,0.3181915009883099,0.3132879550986094,0.124075450506158,0.19411605048215191
7.5,200,101,0.41781638172196783,0.3926026815198949,0.124075450506158,0.29374093121580985
10.0,200,13,0.27028312458790715,0.31008476040716176,0.10857362047581294,0.16170950411209423
10.0,200,31,0.23834208289177222,0.2620705331330304,0.10857362047581294,0.1297684624159593
10.0,200,61,0.2335364527877539,0.24116142553426925,0.10857362047581294,0.12496283231194096
10.0,200,101,0.24523278906110452,0.24062458230701808,0.10857362047581294,0.1366591685852916
12.5,200,13,0.25541983641298804,0.25385137746331354,0.098981337747179,0.15643849866580906
12.5,200,31,0.24982571885195026,0.22980529604119268,0.098981337747179,0.15084438110477127
12.5,200,61,0.23406043149201963,0.21579964455207132,0.098981337747179,0.13507909374484062
12.5,200,101,0.27562054649302464,0.23148865965776025,0.098981337747179,0.17663920874584566
15.0,200,13,0.23585607582156476,0.3257015336359011,0.09231734326721376,0.143538732554351
15.0,200,31,0.24354829232814962,0.2958829709084305,0.09231734326721376,0.15123094906093587
15.0,200,61,0.19511394627940387,0.2617544430316412,0.09231734326721376,0.10279660301219011
15.0,200,101,0.21529284407746374,0.25693393063704856,0.09231734326721376,0.12297550081024998
17.5,200,13,0.2253734569855922,1.0874292035134492,0.08734537176119352,0.1380280852243987
17.5,200,31,0.22853950884869803,1.0857432512866063,0.08734537176119352,0.1411941370875045
17.5,200,61,0.20713738972643625,1.0482739904069538,0.08734537176119352,0.11979201796524273
17.5,200,101,0.23350538947925126,1.0633752663748468,0.08734537176119352,0.14616001771805776
20.0,200,13,0.24789759527044455,2.3638310566736545,0.08345205017383352,0.16444554509661102
20.0,200,31,0.2196223130900658,2.3012740524983792,0.08345205017383352,0.1361702629162323
20.0,200,61,0.21508671611804125,2.282959646366359,0.08345205017383352,0.13163466594420775
20.0,200,101,0.23957778547833056,2.2932471705740864,0.08345205017383352,0.15612573530449703
22.5,200,13,0.26230849267012557,3.689364731668685,0.08029509257926311,0.18201340009086248
22.5,200,31,0.2229692067856508,3.6683450708152545,0.08029509257926311,0.1426741142063877
22.5,200,61,0.18437116388059013,3.6523643448171925,0.08029509257926311,0.10407607130132702
22.5,200,101,0.20503557572833211,3.6748270562237826,0.08029509257926311,0.124740483149069
25.0,200,13,0.23841148908405724,5.104747356584852,0.07766686681995148,0.16074462226410574
25.0,200,31,0.189216129320008,5.0751317376637965,0.07766686681995148,0.11154926250005652
25.0,200,61,0.16444754660312036,5.061221858527807,0.07766686681995148,0.08678067978316888
25.0,200,101,0.17974899094006302,5.078413017575308,0.07766686681995148,0.10208212412011154
27.5,200,13,0.22726936642972947,6.494114065105049,0.07543330387839908,0.1518360625513304
27.5,200,31,0.20850810099346756,6.498854194982768,0.07543330387839908,0.13307479711506848
27.5,200,61,0.16538706142484746,6.467247569110883,0.07543330387839908,0.08995375754644838
27.5,200,101,0.1783635555715851,6.467971640386944,0.07543330387839908,0.10293025169318601
30.0,200,13,0.2512641338767947,7.857973199766605,0.07350352594880151,0.1777606079279932
30.0,200,31,0.22087184559303466,7.8520948556696215,0.07350352594880151,0.14736831964423314
30.0,200,61,0.20840737172939633,7.843071665426512,0.07350352594880151,0.13490384578059483
30.0,200,101,0.21095347629405134,7.833600709966313,0.07350352594880151,0.13744995034524982
5.0,400,13,0.36266374010639957,0.36097306337964324,0.15533373363990297,0.2073300064664966
5.0,400,31,0.41622305640293844,0.39526500082181565,0.15533373363990297,0.26088932276303545
5.0,400,61,0.5137755758640599,0.4766913214148871,0.15533373363990297,0.35844184222415687
5.0,400,101,0.56340650569826,0.5173592939856034,0.15533373363990297,0.408072772058357
7.5,400,13,0.3349939105672011,0.35663122172746337,0.124075450506158,0.21091846006104314
7.5,400,31,0.3191411673062007,0.323260995566779,0.124075450506158,0.1950657168000427
7.5,400,61,0.32734114708714074,0.31289055480872785,0.124075450506158,0.20326569658098276
7.5,400,101,0.41810169252485446,0.3968917154624855,0.124075450506158,0.2940262420186965
10.0,400,13,0.26355048563473116,0.2980876308483928,0.10857362047581294,0.15497686515891823
